Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County
Mean Annual Earnings,2011,Both sexes,Wexford,60 years and over,Euro,27509,WEXFORD
Mean Annual Earnings,2011,Both sexes,Ireland,15 - 24 years,Euro,17899,IRELAND
Mean Annual Earnings,2011,Both sexes,Ireland,15 years and over,Euro,39594,IRELAND
Mean Annual Earnings,2011,Both sexes,Ireland,25 - 29 years,Euro,30230,IRELAND
Mean Annual Earnings,2011,Both sexes,Ireland,30 - 39 years,Euro,40872,IRELAND
Mean Annual Earnings,2011,Both sexes,Ireland,40 - 49 years,Euro,46364,IRELAND
Mean Annual Earnings,2011,Both sexes,Ireland,50 - 59 years,Euro,44307,IRELAND
Mean Annual Earnings,2011,Both sexes,Ireland,60 years and over,Euro,33267,IRELAND
Mean Annual Earnings,2011,Male,Clare,15 - 24 years,Euro,18598,CLARE
Mean Annual Earnings,2011,Male,Clare,15 years and over,Euro,45175,CLARE
Mean Annual Earnings,2011,Male,Clare,25 - 29 years,Euro,30017,CLARE
Mean Annual Earnings,2011,Male,Clare,30 - 39 years,Euro,42359,CLARE
Mean Annual Earnings,2011,Male,Clare,40 - 49 years,Euro,53148,CLARE
Mean Annual Earnings,2011,Male,Clare,50 - 59 years,Euro,55302,CLARE
Mean Annual Earnings,2011,Male,Clare,60 years and over,Euro,37537,CLARE
Mean Annual Earnings,2011,Male,Cork,15 - 24 years,Euro,19030,CORK
Mean Annual Earnings,2011,Male,Cork,15 years and over,Euro,46007,CORK
Mean Annual Earnings,2011,Male,Cork,25 - 29 years,Euro,30904,CORK
Mean Annual Earnings,2011,Male,Cork,30 - 39 years,Euro,44573,CORK
Mean Annual Earnings,2011,Male,Cork,40 - 49 years,Euro,56045,CORK
Mean Annual Earnings,2011,Male,Cork,50 - 59 years,Euro,54659,CORK
Mean Annual Earnings,2011,Male,Cork,60 years and over,Euro,40887,CORK
Mean Annual Earnings,2011,Male,Cavan,15 - 24 years,Euro,19754,CAVAN
Mean Annual Earnings,2011,Male,Cavan,15 years and over,Euro,38632,CAVAN
