Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County,Mean_Median_Diff,Mean_Median_Diff_Perc
Mean Annual Earnings,2011,Both sexes,Mayo,40 - 49 years,Euro,38154,MAYO,5113.0,15.474713235071578
Mean Annual Earnings,2011,Both sexes,Mayo,50 - 59 years,Euro,35821,MAYO,4695.0,15.083852727623208
Mean Annual Earnings,2011,Both sexes,Mayo,60 years and over,Euro,26436,MAYO,5749.0,27.79039976797022
Mean Annual Earnings,2011,Both sexes,Offaly,15 - 24 years,Euro,16904,OFFALY,1450.0,9.382684094732756
Mean Annual Earnings,2011,Both sexes,Offaly,15 years and over,Euro,35380,OFFALY,4010.0,12.782913611730953
Mean Annual Earnings,2011,Both sexes,Offaly,25 - 29 years,Euro,29563,OFFALY,2088.0,7.599636032757052
Mean Annual Earnings,2011,Both sexes,Offaly,30 - 39 years,Euro,37144,OFFALY,2962.0,8.665379439471067
Mean Annual Earnings,2011,Both sexes,Offaly,40 - 49 years,Euro,39044,OFFALY,5048.0,14.848805741851983
Mean Annual Earnings,2011,Both sexes,Offaly,50 - 59 years,Euro,39154,OFFALY,4072.0,11.607091955988826
Mean Annual Earnings,2011,Both sexes,Offaly,60 years and over,Euro,29945,OFFALY,3361.0,12.642943123683418
Mean Annual Earnings,2011,Both sexes,Roscommon,15 - 24 years,Euro,18462,ROSCOMMON,1703.0,10.161704158959365
Mean Annual Earnings,2011,Both sexes,Roscommon,15 years and over,Euro,35515,ROSCOMMON,3746.0,11.791368944568605
Mean Annual Earnings,2011,Both sexes,Roscommon,25 - 29 years,Euro,30982,ROSCOMMON,2646.0,9.337944664031621
Mean Annual Earnings,2011,Both sexes,Roscommon,30 - 39 years,Euro,37892,ROSCOMMON,2367.0,6.662913441238564
Mean Annual Earnings,2011,Both sexes,Roscommon,40 - 49 years,Euro,38714,ROSCOMMON,4650.0,13.650775011742603
Mean Annual Earnings,2011,Both sexes,Roscommon,50 - 59 years,Euro,37494,ROSCOMMON,4876.0,14.948801275369428
Mean Annual Earnings,2011,Both sexes,Roscommon,60 years and over,Euro,28815,ROSCOMMON,5186.0,21.94760675441195
Mean Annual Earnings,2011,Both sexes,Sligo,15 - 24 years,Euro,17115,SLIGO,1769.0,11.527433858986056
Mean Annual Earnings,2011,Both sexes,Sligo,15 years and over,Euro,36340,SLIGO,4228.0,13.166417538614848
Mean Annual Earnings,2011,Both sexes,Sligo,25 - 29 years,Euro,28678,SLIGO,1989.0,7.452508524111057
Mean Annual Earnings,2011,Both sexes,Sligo,30 - 39 years,Euro,36743,SLIGO,2960.0,8.761803273835953
Mean Annual Earnings,2011,Both sexes,Sligo,40 - 49 years,Euro,41656,SLIGO,5449.0,15.049576048830337
Mean Annual Earnings,2011,Both sexes,Sligo,50 - 59 years,Euro,40276,SLIGO,4881.0,13.790083345105241
Mean Annual Earnings,2011,Both sexes,Sligo,60 years and over,Euro,30321,SLIGO,4604.0,17.90255473033402
Mean Annual Earnings,2011,Both sexes,Tipperary,15 - 24 years,Euro,17935,TIPPERARY,1432.0,8.677210204205297
Mean Annual Earnings,2011,Both sexes,Tipperary,15 years and over,Euro,35722,TIPPERARY,4498.0,14.40558544709198
Mean Annual Earnings,2011,Both sexes,Tipperary,25 - 29 years,Euro,29928,TIPPERARY,1908.0,6.809421841541756
Mean Annual Earnings,2011,Both sexes,Tipperary,30 - 39 years,Euro,37938,TIPPERARY,3258.0,9.39446366782007
Mean Annual Earnings,2011,Both sexes,Tipperary,40 - 49 years,Euro,39852,TIPPERARY,5809.0,17.063713538759803
Mean Annual Earnings,2011,Both sexes,Tipperary,50 - 59 years,Euro,38203,TIPPERARY,5631.0,17.287854599042124
Mean Annual Earnings,2011,Both sexes,Tipperary,60 years and over,Euro,28550,TIPPERARY,5977.0,26.478536304434503
Mean Annual Earnings,2011,Both sexes,Waterford,15 - 24 years,Euro,16309,WATERFORD,1668.0,11.39266443548938
Mean Annual Earnings,2011,Both sexes,Waterford,15 years and over,Euro,36959,WATERFORD,4814.0,14.975890496189143
Mean Annual Earnings,2011,Both sexes,Waterford,25 - 29 years,Euro,28815,WATERFORD,2037.0,7.606990813354246
Mean Annual Earnings,2011,Both sexes,Waterford,30 - 39 years,Euro,38124,WATERFORD,2127.0,5.908825735477956
